frame_id,object_id,class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,velocity_kmph
1,78,Car,0.3240114450454712,783.9663090374211,308.1977232630674,815.9155269000789,321.60836804552633,0.0
1,77,Car,0.5230737328529358,504.6458743718525,291.0636445477608,519.559081682835,303.2598417803642,0.0
1,76,Car,0.5503031611442566,229.7199103062854,306.9753723191045,261.40200741832393,321.228118891833,0.0
1,75,Car,0.6140941381454468,664.1628421237294,293.1333773821618,684.5499264309581,308.2675015240882,0.0
1,74,Car,0.8312270641326904,528.7254338656788,298.72119136790883,565.4188532436962,326.3439331438099,0.0
2,79,Car,0.5878564715385437,107.34994991107754,307.3644865701555,149.07729618267246,329.071914797032,0.0
2,78,Car,0.39511778950691223,789.0012303059071,308.7176599800312,815.7913699775612,319.8098114914589,30.880235467438915
2,77,Car,0.44268542528152466,504.6908274459735,291.90754386894895,519.4074498117469,303.9447204134239,8.593663520808187
2,76,Car,0.4125673472881317,220.01976605742195,307.2224741196402,254.44433075565044,322.31132854226314,74.75602748929136
2,75,Car,0.6351221203804016,664.8266955671162,293.97222409876485,685.2052771496082,308.8926809290201,8.915443052026239
2,74,Car,0.8223316669464111,528.9463058472396,299.46585155189814,565.4805458101661,326.930133672327,3.3438177374559195
3,79,Car,0.5978075861930847,93.75888475105904,306.5742468333846,137.60215488193558,329.54822104890667,73.65297844522115
3,77,Car,0.4063774049282074,504.8966484812187,292.2682815765379,519.3580275885512,303.8322486649388,5.1884186595257376
3,76,Car,0.4316665530204773,209.67776577076222,307.1975599015402,249.077689148322,324.0972566006409,64.932479019707
3,75,Car,0.5980260968208313,665.3987587090047,293.8823393673772,685.599878438159,308.83847209211285,5.95648940674047
3,74,Car,0.8210226893424988,529.0869415019955,299.41522161856915,565.3459770367175,326.62220579054383,1.2581538124576417
4,77,Car,0.3572319447994232,504.92682133548635,292.34742969550683,519.2581677346487,303.71160447766107,3.4364493211766534
4,75,Car,0.5893738865852356,665.6399885070277,293.6645575435909,686.1281843945953,308.8346058438339,4.815610870213757
4,74,Car,0.8242341876029968,529.1813556429313,299.40738855794035,565.3938550871735,326.56046727162453,0.8288917400548125
5,79,Car,0.3508995473384857,64.95598158039206,309.7913842957675,110.30747527311149,332.74590300314406,79.78111581885142
5,77,Car,0.3635072112083435,504.837238172562,292.0997137659089,519.3128476402113,303.52247135714316,1.9202975927044534
5,75,Car,0.619314968585968,665.7348043115697,293.3259416628793,686.9806219559567,308.83343937908677,4.43314099339847
5,74,Car,0.8300686478614807,529.2247283933377,299.27351886289733,565.4719386932991,326.3839297388585,0.5041388384219736
6,79,Car,0.5616875290870667,47.913334679994236,310.4000157639349,95.66366462439682,334.58975953407946,78.9512317694197
6,77,Car,0.33504122495651245,504.84390092138574,292.2900871379786,518.9904621592308,303.36341936000554,1.6832562782921685
6,75,Car,0.5591503977775574,665.66103785206,293.14075931694333,686.9718034003349,308.78653856606047,3.412806615113333
6,74,Car,0.8321912884712219,529.1624576675276,299.3280907808541,565.4424744902437,326.38114995876043,0.3951652201592855
